drug_name,Total Articles,Positive Studies (%),Negative Studies (%),High Quality Evidence (%),Primary Safety Concern,Recent Publications (2yr),Literature Assessment,avg_rating,all_side_effects,overall_sentiment
NUVIGIL,1,0,0,0,,0,Concerning,4.17,fatigue | headache | insomnia | nausea | weight gain,positive
MOVIPREP,19,0,5.3,36.8,,5,Mixed-Neutral,1.36,dizziness | headache | nausea | vomiting,negative
ASPIRIN,180,31.7,30.6,13.9,Hematologic,61,Concerning,3.6,stomach pain,neutral
"""BUTALBITAL",17,0,0,0,,8,Concerning,,,
"ASPIRIN AND CAFFEINE""",7,0,0,0,,3,Concerning,,,
AGGRENOX,2,0,50,50,,1,Concerning,2.92,diarrhea | fatigue | headache | nausea | rash | stomach pain | vomiting,negative
OXYCODONE AND ASPIRIN,5,0,0,40,,0,Mixed-Neutral,3.29,,negative
TENORMIN,1,0,0,0,,0,Concerning,3.21,dizziness | fatigue | headache | heart attack | neuropathy,negative
ATENOLOL,183,17.5,7.7,8.2,Cardiovascular,51,Concerning,1.71,dizziness | fatigue | headache | insomnia | nausea | stomach pain,negative
ATENOLOL AND CHLORTHALIDONE,1,0,0,0,,0,Concerning,3.33,fatigue | nausea,neutral
QULIPTA,2,0,0,0,,0,Concerning,3.42,fatigue | headache | insomnia | nausea | stomach pain | vomiting,positive
STRATTERA,8,0,0,0,,2,Concerning,2.08,dizziness | fatigue | headache | nausea | neuropathy | weight loss,positive
LIPITOR,31,16.1,3.2,3.2,Cardiovascular,9,Concerning,1.77,fatigue | headache | heart attack | nausea | neuropathy | weight gain,negative
ATORVASTATIN CALCIUM,130,15.4,3.8,6.2,Cardiovascular,58,Concerning,1.82,diarrhea | fatigue | headache | insomnia | nausea | vomiting,negative
MEPRON,2,0,0,0,,1,Concerning,4.17,fatigue | nausea,positive
MALARONE,11,0,9.1,9.1,,4,Concerning,2.0,diarrhea | dizziness | fatigue | headache | insomnia,negative
MOTOFEN,190,0,0,25.8,,40,Mixed-Neutral,5.0,fatigue,positive
LOMOTIL,5,0,20,0,,1,Concerning,4.4,diarrhea | dizziness,positive
AZATHIOPRINE,168,26.8,30.4,17.3,Cardiovascular,50,Concerning,2.67,fatigue | nausea,negative
IMURAN,7,0,14.3,0,,6,Concerning,2.92,diarrhea | fatigue | nausea | vomiting | weight gain,negative
OPTIVAR,1,0,0,0,,0,Concerning,3.5,,positive
ASTEPRO,1,0,0,0,,0,Concerning,2.44,fatigue | headache,positive
AZELASTINE HYDROCHLORIDE,36,19.4,5.6,13.9,Allergic,17,Concerning,2.43,fatigue,positive
DYMISTA,9,22.2,0,0,,3,Concerning,3.0,fatigue | headache,negative
EDARBYCLOR,1,0,0,100,,0,Mixed-Neutral,1.78,dizziness | headache | insomnia | nausea | stomach pain | weight gain,negative
AZITHROMYCIN,178,29.8,30.3,18.5,Cardiovascular,44,Concerning,1.76,diarrhea | fatigue | headache | heart attack | insomnia | nausea | rash | vomiting,negative
ZMAX,35,5.7,8.6,0,,13,Concerning,1.0,diarrhea | dizziness,negative
ZITHROMAX,41,0,0,4.9,,19,Concerning,1.33,diarrhea | fatigue | insomnia | nausea | weight loss,negative
BACLOFEN,177,18.6,31.6,18.1,Hepatotoxicity,59,Concerning,3.07,diarrhea | fatigue | headache | insomnia | nausea,negative
BACTRIM,55,0,10.9,3.6,,22,Concerning,1.12,dizziness | fatigue | headache | insomnia | nausea | rash | stomach pain | vomiting,negative
BACTROBAN,5,20,0,0,,2,Concerning,3.33,rash,positive
BANZEL,1,0,0,0,,0,Concerning,,,
BARACLUDE,3,66.7,0,0,,1,Concerning,3.0,fatigue,negative
BASAGLAR,11,18.2,0,9.1,,4,Concerning,1.5,diarrhea | dizziness | nausea | rash | stomach pain | weight gain,negative
BECONASE,1,0,0,0,,0,Concerning,1.53,dizziness | fatigue | headache | insomnia | nausea,negative
BECONASE AQ,1,0,0,0,,0,Concerning,1.0,,negative
BELBUCA,12,8.3,0,0,,10,Concerning,2.31,dizziness | fatigue | headache | insomnia | nausea,negative
BELSOMRA,10,0,0,10,,2,Concerning,1.71,dizziness | fatigue | headache | nausea | neuropathy,negative
BELVIQ,9,0,11.1,44.4,,4,Mixed-Neutral,4.0,dizziness | fatigue | headache,positive
BENADRYL,27,3.7,7.4,0,Allergic,13,Concerning,2.14,dizziness | fatigue | insomnia | nausea | rash,negative
BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,8,0,0,62.5,,3,Mixed-Neutral,4.0,fatigue | headache,negative
BENICAR,1,0,0,0,,1,Concerning,1.12,diarrhea | dizziness | fatigue | headache | neuropathy | weight gain,negative
BENLYSTA,16,6.2,6.2,6.2,,4,Concerning,3.1,fatigue | headache | insomnia | nausea,negative
BENTYL,2,0,50,0,,1,Concerning,2.21,diarrhea | fatigue | heart attack | nausea | vomiting | weight loss,negative
BENZAMYCIN PAK,55,0,0,14.5,,18,Concerning,5.0,,negative
BENZONATATE,17,17.6,23.5,11.8,Cardiovascular,4,Concerning,2.8,,negative
BETAMETHASONE DIPROPIONATE,175,28.6,5.1,20.6,,46,Concerning,1.0,,positive
BETAMETHASONE VALERATE,39,20.5,0,23.1,,13,Concerning,5.0,,positive
BETA-VAL,4,0,0,0,,2,Concerning,,,
BETAXOLOL HCL,1,0,0,0,,0,Concerning,4.2,,positive
BEYAZ,180,0,0,3.9,,76,Concerning,,,
BICALUTAMIDE,182,17,13.2,11.5,Cardiovascular,69,Concerning,1.0,,neutral
BICILLIN L-A,1,0,0,0,,1,Concerning,4.5,fatigue,positive
BICNU,1,0,100,0,,0,Concerning,4.0,,negative
BILTRICIDE,4,0,0,0,,2,Concerning,,,
BIMZELX,3,0,0,0,,3,Concerning,5.0,headache,negative
BINOSTO,1,0,0,0,,0,Concerning,1.0,,negative
BISOPROLOL FUMARATE,24,4.2,0,0,,10,Concerning,2.0,,positive
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,20,0,0,10,,10,Concerning,3.17,fatigue,positive
BONTRIL,11,0,0,0,,5,Concerning,3.8,headache | insomnia,positive
BONTRIL PDM,1,0,0,0,,0,Concerning,3.5,,negative
BOTOX,159,19.5,8.8,15.1,Gastrointestinal,40,Concerning,,,
BOTOX COSMETIC,3,0,33.3,33.3,,0,Concerning,2.6,diarrhea | dizziness | headache | nausea,negative
BRILINTA,14,0,0,0,,7,Concerning,1.25,diarrhea | dizziness | fatigue | headache | heart attack | insomnia | neuropathy | vomiting,negative
BRIVIACT,1,0,0,0,,0,Concerning,3.5,nausea,neutral
BROMFED-DM,1,0,0,0,,1,Concerning,1.0,,negative
BROMOCRIPTINE MESYLATE,21,4.8,14.3,9.5,,7,Concerning,2.0,fatigue | headache | nausea,positive
BUDESONIDE,171,42.1,11.1,22.8,Allergic,73,Mixed-Neutral,1.67,diarrhea,negative
BUMETANIDE,177,16.9,7.3,10.7,Allergic,65,Concerning,2.5,fatigue | heart attack,positive
BUPIVACAINE HCL,37,18.9,5.4,32.4,,11,Mixed-Neutral,4.0,,negative
BUPRENEX,2,0,0,0,,0,Concerning,4.12,fatigue | headache | insomnia | nausea,positive
BUPRENORPHINE HCL,11,9.1,0,9.1,,4,Concerning,4.33,headache | insomnia | nausea,negative
BUPROPION HCL,1,0,0,0,,1,Concerning,2.5,dizziness | headache | nausea,positive
BUSPAR,3,0,0,0,,0,Concerning,3.09,diarrhea | dizziness | headache | insomnia | weight loss,negative
BUSPIRONE HYDROCHLORIDE,8,37.5,0,0,,5,Concerning,2.6,diarrhea | fatigue | insomnia | nausea | weight gain,positive
"""BUTALBITAL",17,0,0,0,,8,Concerning,,,
"ACETAMINOPHEN AND CAFFEINE""",191,0,0,5.8,,65,Concerning,,,
"""BUTALBITAL",17,0,0,0,,8,Concerning,,,
"ASPIRIN AND CAFFEINE""",7,0,0,0,,3,Concerning,,,
BUTRANS,6,0,0,0,,3,Concerning,3.4,nausea | rash,negative
BYDUREON,12,8.3,0,8.3,,5,Concerning,2.71,fatigue | headache | nausea | vomiting | weight loss,negative
BYETTA,12,16.7,8.3,33.3,,4,Mixed-Neutral,3.18,fatigue | headache | nausea | stomach pain | vomiting | weight loss,positive
NEOSPORIN,8,37.5,12.5,0,,5,Concerning,3.0,,positive
LIORESAL,3,0,0,0,,0,Concerning,4.0,headache,positive
BACLOFEN,177,18.6,31.6,18.1,Hepatotoxicity,59,Concerning,3.07,diarrhea | fatigue | headache | insomnia | nausea,negative
XOFLUZA,12,25,0,0,,5,Concerning,5.0,,positive
OLUMIANT,17,0,11.8,11.8,,1,Concerning,,,
DUAVEE,3,66.7,0,33.3,,2,Mixed-Positive,4.0,headache,negative
QVAR 80,43,0,0,27.9,,19,Mixed-Neutral,2.36,fatigue | headache | insomnia | nausea | vomiting,positive
BECONASE,1,0,0,0,,0,Concerning,1.53,dizziness | fatigue | headache | insomnia | nausea,negative
QVAR REDIHALER,180,0,0,22.2,,48,Mixed-Neutral,1.54,,negative
QNASL,2,0,0,0,,0,Concerning,2.5,,positive
BECONASE AQ,1,0,0,0,,0,Concerning,1.0,,negative
BENLYSTA,16,6.2,6.2,6.2,,4,Concerning,3.1,fatigue | headache | insomnia | nausea,negative
NEXLETOL,5,0,0,0,,1,Concerning,3.17,diarrhea | fatigue | headache | nausea | neuropathy | stomach pain,positive
LOTENSIN,2,0,0,0,,1,Concerning,2.79,dizziness | fatigue | headache,negative
BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,8,0,0,62.5,,3,Mixed-Neutral,4.0,fatigue | headache,negative
TESSALON,3,33.3,0,33.3,,1,Mixed-Neutral,1.29,nausea,negative
BENZONATATE,17,17.6,23.5,11.8,Cardiovascular,4,Concerning,2.8,,negative
DUAC,1,0,0,0,,1,Concerning,1.88,rash,negative
BENZAMYCIN PAK,55,0,0,14.5,,18,Concerning,5.0,,negative
COGENTIN,1,0,0,0,,1,Concerning,1.75,diarrhea | fatigue | headache | insomnia | nausea | vomiting,negative
CELESTONE,4,0,0,25,,0,Mixed-Neutral,1.75,bradycardia | diarrhea | headache | insomnia | nausea | vomiting | weight gain,positive
DIPROSONE,5,20,20,0,,1,Concerning,5.0,,negative
BETAMETHASONE DIPROPIONATE,175,28.6,5.1,20.6,,46,Concerning,1.0,,positive
DIPROLENE AF,3,0,0,0,,0,Concerning,1.0,,positive
TACLONEX SCALP,61,0,0,26.2,,22,Concerning,4.0,,positive
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,4,0,0,0,,2,Concerning,,,
BETAMETHASONE VALERATE,39,20.5,0,23.1,,13,Concerning,5.0,,positive
BETA-VAL,4,0,0,0,,2,Concerning,,,
LUXIQ,4,50,0,0,,0,Concerning,3.33,,negative
BETAXOLOL HCL,1,0,0,0,,0,Concerning,4.2,,positive
AVASTIN,189,15.9,2.1,16.9,,52,Concerning,,,
TARGRETIN,5,20,0,0,,2,Concerning,1.0,headache | stomach pain,negative
CASODEX,10,10,0,0,,2,Concerning,3.12,fatigue | weight gain,positive
BICALUTAMIDE,182,17,13.2,11.5,Cardiovascular,69,Concerning,1.0,,neutral
LUMIGAN,4,0,0,0,,1,Concerning,2.27,fatigue | headache,negative
BIMZELX,3,0,0,0,,3,Concerning,5.0,headache,negative
PYLERA,19,15.8,0,26.3,,3,Concerning,2.33,diarrhea | dizziness | fatigue | headache | nausea | stomach pain | vomiting,positive
BISOPROLOL FUMARATE,24,4.2,0,0,,10,Concerning,2.0,,positive
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,20,0,0,10,,10,Concerning,3.17,fatigue,positive
TRACLEER,7,0,0,14.3,,3,Concerning,,,
BOTOX COSMETIC,3,0,33.3,33.3,,0,Concerning,2.6,diarrhea | dizziness | headache | nausea,negative
REXULTI,7,0,0,0,,1,Concerning,3.43,dizziness | fatigue | weight gain,positive
MIRVASO,1,0,100,0,,1,Concerning,1.0,,negative
ALPHAGAN,12,8.3,0,0,,5,Concerning,2.15,dizziness | fatigue | headache | nausea | tachycardia,negative
ALPHAGAN P,4,0,0,0,,2,Concerning,3.33,fatigue,positive
AZOPT,8,12.5,0,0,,2,Concerning,2.0,dizziness | fatigue | headache | nausea | stomach pain | vomiting,negative
BRIVIACT,1,0,0,0,,0,Concerning,3.5,nausea,neutral
BROMOCRIPTINE MESYLATE,21,4.8,14.3,9.5,,7,Concerning,2.0,fatigue | headache | nausea,positive
BROMFED-DM,1,0,0,0,,1,Concerning,1.0,,negative
RHINOCORT,7,0,14.3,42.9,,0,Mixed-Neutral,1.56,headache | insomnia,negative
ENTOCORT EC,3,33.3,0,33.3,,0,Concerning,3.7,fatigue | headache | insomnia | nausea | stomach pain | weight gain,negative
PULMICORT,10,0,0,0,,3,Concerning,1.9,diarrhea | fatigue | insomnia,negative
PULMICORT RESPULES,1,0,0,0,,0,Concerning,1.71,diarrhea | fatigue | rash | vomiting,negative
BUDESONIDE,171,42.1,11.1,22.8,Allergic,73,Mixed-Neutral,1.67,diarrhea,negative
SYMBICORT,37,5.4,8.1,21.6,,9,Concerning,2.0,dizziness | fatigue | headache | rash | stomach pain | vomiting,negative
BUMETANIDE,177,16.9,7.3,10.7,Allergic,65,Concerning,2.5,fatigue | heart attack,positive
BUPIVACAINE HCL,37,18.9,5.4,32.4,,11,Mixed-Neutral,4.0,,negative
BUTRANS,6,0,0,0,,3,Concerning,3.4,nausea | rash,negative
SUBUTEX,9,0,0,0,,3,Concerning,4.14,fatigue | headache | neuropathy | weight gain | weight loss,positive
BUPRENEX,2,0,0,0,,0,Concerning,4.12,fatigue | headache | insomnia | nausea,positive
BUPRENORPHINE HCL,11,9.1,0,9.1,,4,Concerning,4.33,headache | insomnia | nausea,negative
BELBUCA,12,8.3,0,0,,10,Concerning,2.31,dizziness | fatigue | headache | insomnia | nausea,negative
ZUBSOLV,1,0,0,0,,0,Concerning,3.0,dizziness | fatigue | headache | insomnia | nausea,positive
SUBOXONE,97,6.2,4.1,8.2,,26,Concerning,3.42,fatigue | insomnia,negative
WELLBUTRIN XL,1,0,0,0,,1,Concerning,2.92,headache | insomnia | nausea | vomiting | weight gain,negative
ZYBAN,7,14.3,0,28.6,,0,Concerning,3.0,dizziness | headache | insomnia,negative
WELLBUTRIN,13,0,7.7,7.7,,7,Concerning,2.36,headache | nausea | weight loss,negative
BUPROPION HCL,1,0,0,0,,1,Concerning,2.5,dizziness | headache | nausea,positive
CONTRAVE,11,18.2,0,0,,3,Concerning,3.0,dizziness | fatigue | headache | insomnia | nausea,positive
BUSPIRONE HYDROCHLORIDE,8,37.5,0,0,,5,Concerning,2.6,diarrhea | fatigue | insomnia | nausea | weight gain,positive
BUSPAR,3,0,0,0,,0,Concerning,3.09,diarrhea | dizziness | headache | insomnia | weight loss,negative
MYLERAN,2,0,0,0,,1,Concerning,3.0,,negative
STADOL PRESERVATIVE FREE,1,0,0,0,,1,Concerning,,,
CABERGOLINE,192,24.5,9.4,15.1,Gastrointestinal,65,Concerning,2.6,fatigue | headache | nausea,negative
CADUET,3,0,0,0,,0,Concerning,,,
CAFERGOT,1,0,0,0,,1,Concerning,3.8,headache | nausea,positive
CALAN,35,0,0,11.4,,13,Concerning,1.94,diarrhea | dizziness | fatigue | headache | insomnia | nausea | stomach pain | weight gain,negative
CALCITONIN-SALMON,6,0,0,0,,3,Concerning,3.0,,positive
CAMBIA,154,0,0,13,,31,Concerning,3.8,fatigue | headache | nausea | vomiting,negative
CAMILA,193,0,0,15.5,,44,Concerning,1.71,diarrhea | dizziness | fatigue | headache | insomnia | nausea | weight gain,negative
CAMPATH,18,11.1,5.6,0,,1,Concerning,4.0,fatigue,neutral
CAMPRAL,4,0,0,25,,1,Mixed-Neutral,4.71,diarrhea | fatigue | insomnia | nausea | weight gain,positive
CAMPTOSAR,6,16.7,33.3,0,,3,Concerning,1.0,diarrhea | nausea | vomiting,negative
CANASA,3,0,0,0,,1,Concerning,3.8,,negative
CANDESARTAN CILEXETIL,69,11.6,2.9,8.7,Cardiovascular,25,Concerning,1.67,bradycardia | dizziness | fatigue | headache | neuropathy | stomach pain,neutral
CAPLYTA,11,0,0,9.1,,2,Concerning,2.2,diarrhea | dizziness | fatigue | headache | nausea | weight gain,positive
CAPTOPRIL,177,16.4,6.2,6.2,Cardiovascular,52,Concerning,2.33,headache | rash | tachycardia,negative
CAPTOPRIL AND HYDROCHLOROTHIAZIDE,4,0,0,25,,1,Mixed-Neutral,,,
CARAFATE,1,0,0,0,,0,Concerning,1.9,dizziness | fatigue | headache | nausea | neuropathy | stomach pain | weight loss,negative
CARBAMAZEPINE,178,25.8,18.5,4.5,Cardiovascular,63,Concerning,3.0,,neutral
"""CARBIDOPA",180,0,0,26.7,,71,Mixed-Neutral,,,
"LEVODOPA AND ENTACAPONE""",113,0,0,12.4,,52,Concerning,,,
CARBOPLATIN,190,31.1,25.3,15.8,Hematologic,59,Concerning,,,
CARDIZEM,2,0,0,0,,1,Concerning,1.5,fatigue | insomnia | nausea | weight gain,negative
CARDURA,2,0,0,0,,2,Concerning,2.07,dizziness | fatigue | headache | nausea | tachycardia | weight gain,negative
CARISOPRODOL,38,0,10.5,2.6,,13,Concerning,5.0,fatigue | neuropathy,negative
CAROSPIR,1,0,0,0,,0,Concerning,1.0,fatigue | weight gain,neutral
CARVEDILOL,174,28.7,14.4,14.4,Cardiovascular,54,Concerning,2.38,dizziness | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight gain,negative
CASODEX,10,10,0,0,,2,Concerning,3.12,fatigue | weight gain,positive
CATAFLAM,4,0,0,0,,2,Concerning,2.7,headache | stomach pain,negative
CATAPRES,1,0,0,0,,0,Concerning,1.92,dizziness | fatigue | insomnia | neuropathy | tachycardia,negative
CAVERJECT,2,0,0,0,,1,Concerning,5.0,,positive
CECLOR,1,0,0,0,,0,Concerning,2.33,,negative
CEDAX,2,0,0,0,,1,Concerning,,,
CEFACLOR,139,9.4,7.9,4.3,Allergic,51,Concerning,3.83,fatigue,positive
CEFADROXIL,94,6.4,8.5,1.1,Allergic,42,Concerning,1.0,fatigue | headache | insomnia | nausea | stomach pain,negative
CEFDINIR,109,10.1,7.3,8.3,,44,Concerning,1.36,diarrhea | fatigue | insomnia | rash,negative
CEFOTAN,1,0,0,0,,0,Concerning,,,
CEFPODOXIME PROXETIL,25,12,4,4,,7,Concerning,4.0,headache | stomach pain,negative
CEFPROZIL,22,0,0,13.6,,9,Concerning,,,
CEFTIN,1,0,0,0,,0,Concerning,1.78,diarrhea | fatigue | headache | nausea | vomiting,negative
CEFUROXIME,176,13.6,13.6,11.4,Allergic,57,Concerning,,,
CEFUROXIME AXETIL,48,4.2,4.2,6.2,Gastrointestinal,18,Concerning,2.5,,negative
CELEBREX,32,15.6,3.1,15.6,,11,Concerning,1.57,diarrhea | fatigue | insomnia,negative
CELESTONE,4,0,0,25,,0,Mixed-Neutral,1.75,bradycardia | diarrhea | headache | insomnia | nausea | vomiting | weight gain,positive
CELEXA,3,0,0,0,,0,Concerning,2.08,dizziness | fatigue | insomnia | nausea | vomiting,negative
CELLCEPT,37,8.1,5.4,10.8,,16,Concerning,3.06,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | rash | stomach pain | vomiting,negative
CEPHALEXIN,180,12.2,9.4,3.9,Allergic,41,Concerning,1.61,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | tachycardia,negative
CERVIDIL,2,0,0,0,,0,Concerning,2.5,,negative
CESAMET,2,0,0,0,,0,Concerning,4.0,,positive
CETIRIZINE HYDROCHLORIDE,23,8.7,4.3,8.7,,9,Concerning,3.0,fatigue,positive
CETROTIDE,12,8.3,0,8.3,,3,Concerning,2.0,fatigue,negative
CHANTIX,17,5.9,5.9,17.6,,4,Concerning,2.77,fatigue | headache | insomnia | nausea | rash | stomach pain | weight gain,positive
CHILDRENS CLARITIN,20,0,0,10,,7,Concerning,1.0,insomnia,negative
CHILDRENS ZYRTEC ALLERGY,26,0,0,15.4,,10,Concerning,,,
CHLORAPREP,22,13.6,0,31.8,,8,Mixed-Neutral,1.0,,negative
CHLORDIAZEPOXIDE AND AMITRIPTYLINE HCL,2,0,0,0,,1,Concerning,,,
CHLORHEXIDINE GLUCONATE,181,16,3.3,23.8,Cardiovascular,67,Mixed-Neutral,4.0,nausea,negative
CHLOROTHIAZIDE,43,14,9.3,11.6,,22,Concerning,1.0,fatigue,positive
CHLORPROMAZINE HCL,3,0,0,0,,2,Concerning,5.0,,negative
CHLORTHALIDONE,159,20.8,15.1,29.6,Cardiovascular,59,Mixed-Neutral,1.78,diarrhea | dizziness | fatigue | headache | insomnia | rash | weight gain,neutral
CHLOR-TRIMETON,2,0,0,0,,1,Concerning,3.92,fatigue,positive
CHOLESTYRAMINE,179,11.7,5.6,3.9,Gastrointestinal,57,Concerning,5.0,,positive
CHORIONIC GONADOTROPIN,179,5,2.2,8.9,,48,Concerning,5.0,,positive
CIALIS,23,13,0,8.7,,8,Concerning,3.44,headache | insomnia,negative
CICLOPIROX,173,13.9,1.7,4,,62,Concerning,1.0,,neutral
CILOXAN,1,0,0,0,,0,Concerning,,,
CIMZIA,11,0,0,9.1,,2,Concerning,1.86,diarrhea | rash,negative
CIPRO,83,9.6,7.2,3.6,,29,Concerning,1.47,diarrhea | fatigue | insomnia | nausea | neuropathy | rash | stomach pain | weight loss,negative
CIPRO XR,1,0,0,0,,0,Concerning,3.0,,negative
CIPRODEX,8,25,0,0,,3,Concerning,1.0,,negative
CIPROFLOXACIN,183,20.2,27.3,6.6,Nephrotoxicity,58,Concerning,1.0,neuropathy,negative
CIPROFLOXACIN HYDROCHLORIDE,103,8.7,1,1,,40,Concerning,2.2,fatigue | headache | nausea | stomach pain,negative
CISPLATIN,192,27.1,43.8,0,Nephrotoxicity,61,Concerning,,,
CITALOPRAM HYDROBROMIDE,16,12.5,0,0,,12,Concerning,3.5,dizziness | fatigue | headache | nausea | rash | vomiting,negative
CITANEST PLAIN,3,0,0,0,,0,Concerning,3.0,,positive
CLARAVIS,1,0,0,0,,0,Concerning,3.5,fatigue | headache | rash,positive
CLARINEX,2,0,0,0,,0,Concerning,2.4,dizziness,positive
CLARINEX-D 12 HOUR,2,0,0,100,,0,Mixed-Neutral,5.0,,positive
CLARITHROMYCIN,173,13.9,22.5,16.8,Allergic,37,Concerning,1.12,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | stomach pain,negative
CLARITIN,9,0,0,0,,3,Concerning,1.15,diarrhea | fatigue | headache | insomnia | nausea | vomiting,neutral
CLEMASTINE FUMARATE,24,16.7,0,12.5,,11,Concerning,4.0,,positive
CLEOCIN,1,0,0,0,,0,Concerning,3.31,diarrhea | fatigue | headache,positive
CLEOCIN HYDROCHLORIDE,31,0,0,3.2,,13,Concerning,2.15,diarrhea | dizziness | fatigue | headache | nausea | rash,negative
CLIMARA,2,0,0,50,,2,Mixed-Neutral,2.26,headache | rash | weight gain,positive
CLINDAMYCIN HCL,5,0,0,0,,2,Concerning,1.6,diarrhea | fatigue | headache | insomnia | nausea | rash | vomiting,negative
CLINDAMYCIN PHOSPHATE,62,21,3.2,29,,36,Mixed-Neutral,4.0,,positive
CLINDAMYCIN PHOSPHATE IN DEXTROSE 5%,1,0,0,0,,1,Concerning,5.0,,positive
CLINORIL,1,0,0,0,,0,Concerning,3.0,diarrhea | headache | nausea,positive
CLOBETASOL PROPIONATE,188,21.8,3.7,12.8,Allergic,81,Concerning,5.0,,positive
CLOMID,11,9.1,0,27.3,,3,Mixed-Neutral,3.06,fatigue | headache | insomnia | nausea | stomach pain,negative
CLOMIPRAMINE HCL,6,16.7,0,0,,4,Concerning,3.0,dizziness,neutral
CLOMIPRAMINE HYDROCHLORIDE,4,0,0,0,,0,Concerning,2.0,,negative
CLONAZEPAM,179,21.2,8.9,17.3,,52,Concerning,2.33,dizziness | fatigue | headache | insomnia | weight gain,negative
CLONIDINE,179,33.5,11.2,23.5,Cardiovascular,62,Mixed-Neutral,3.5,fatigue | headache | insomnia,negative
CLONIDINE HCL AND CHLORTHALIDONE,1,0,0,0,,0,Concerning,5.0,fatigue,negative
CLONIDINE HYDROCHLORIDE,21,4.8,0,0,,3,Concerning,,,
CLOPIDOGREL,173,23.1,35.8,20.8,Cardiovascular,59,Concerning,2.0,,positive
CLOPIDOGREL BISULFATE,23,21.7,0,0,Cardiovascular,5,Concerning,,,
CLORAZEPATE DIPOTASSIUM,1,0,0,100,,0,Mixed-Neutral,3.0,,positive
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,4,0,0,0,,2,Concerning,,,
CLOZAPINE,178,25.3,53.4,19.1,Hematologic,65,Concerning,3.0,dizziness | fatigue | weight gain,positive
CLOZARIL,20,20,10,15,,9,Concerning,3.06,fatigue | weight gain,negative
COBENFY,22,9.1,4.5,0,,21,Concerning,4.0,,positive
COGENTIN,1,0,0,0,,1,Concerning,1.75,diarrhea | fatigue | headache | insomnia | nausea | vomiting,negative
COLCRYS,2,0,0,0,,1,Concerning,3.25,diarrhea | nausea,negative
COLESTID,1,0,0,100,,1,Mixed-Neutral,4.25,stomach pain,negative
COLYTE,1,0,0,0,,1,Concerning,2.75,headache | nausea | stomach pain,positive
COMBIGAN,5,20,0,20,,2,Concerning,2.56,fatigue | headache,negative
COMBIVENT,3,0,0,33.3,,0,Mixed-Neutral,3.33,,negative
COMMIT,170,5.9,4.1,2.4,,46,Concerning,3.0,,positive
COMPAZINE,2,0,50,0,,0,Concerning,1.0,fatigue | headache | nausea | stomach pain,positive
COMTAN,2,0,0,0,,0,Concerning,2.0,,positive
CONCERTA,19,10.5,0,10.5,,9,Concerning,2.88,fatigue | headache | insomnia | nausea | stomach pain | vomiting,positive
CONTAC,10,10,10,0,,6,Concerning,3.0,,positive
CONTRAVE,11,18.2,0,0,,3,Concerning,3.0,dizziness | fatigue | headache | insomnia | nausea,positive
COPAXONE,29,3.4,10.3,3.4,,7,Concerning,2.83,nausea | weight gain | weight loss,negative
CORDARONE,2,0,0,0,,2,Concerning,2.93,dizziness | fatigue | heart attack | insomnia | nausea | neuropathy,negative
COREG,16,12.5,0,12.5,,7,Concerning,1.92,dizziness | fatigue | headache | nausea | weight gain,negative
COREG CR,3,0,0,0,,1,Concerning,3.0,fatigue | weight gain,negative
CORLANOR,3,0,0,33.3,,3,Mixed-Neutral,5.0,,positive
CORLANOR,3,0,0,33.3,,3,Mixed-Neutral,5.0,,positive
CORMAX,1,0,0,0,,1,Concerning,,,
CORTEF,5,0,0,0,,1,Concerning,3.47,fatigue | headache | nausea | rash | stomach pain | weight gain,negative
COSENTYX,22,4.5,0,4.5,,9,Concerning,2.93,fatigue | headache | rash | vomiting,positive
COSOPT,6,33.3,0,16.7,,2,Concerning,2.9,headache | insomnia | nausea | vomiting,negative
COTRIM,99,0,0,6.1,,37,Concerning,,,
COUMADIN,89,7.9,4.5,9,Cardiovascular,23,Concerning,3.33,dizziness | fatigue | headache | neuropathy | weight gain,positive
COZAAR,2,0,0,0,,0,Concerning,1.67,dizziness | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | tachycardia | weight loss,negative
CREON,31,12.9,0,3.2,Cardiovascular,19,Concerning,3.5,nausea | stomach pain,negative
CRESTOR,7,0,0,14.3,,2,Concerning,2.19,fatigue | headache | insomnia | neuropathy | stomach pain,negative
CRINONE,16,43.8,0,25,,6,Mixed-Neutral,2.67,,negative
CUTIVATE,2,0,0,0,,1,Concerning,4.67,,negative
CYANOCOBALAMIN,181,9.9,3.9,9.4,Cardiovascular,51,Concerning,,,
CYCLOBENZAPRINE HCL,3,0,0,0,,3,Concerning,3.27,fatigue,positive
CYCLOBENZAPRINE HYDROCHLORIDE,10,10,0,0,,7,Concerning,4.0,fatigue,negative
CYCLOGYL,2,0,0,0,,0,Concerning,,,
