drug_name,most_positive_comment,most_negative_comment,,
BUPRENEX,Great pain relief without the loss of cognitive function.,Would try going off the pain meds without this medication-try other things -like clonidine or OTC meds.,,
BUPRENORPHINE HCL,Use it in the USA for pain. It works great.,"There's a lawsuit against suboxin, or however you spell it. I don't buy it that medication is safer, or doesn't cause addiction. None of my other pain medications caused euphoria, except this one. I think this medication is very dangerous, and babies have died from it. I'm glad it's helped people, but they used to give morphine to people get over heroin addiction, and don't forget methadone.",,
BUPROPION HCL,"Took 150 XL before, this isn't any better, irritable, feel like a zombie, no motivation. On the 150XL felt clearer headed, had to stop due to heart palpitations.","taste like poison, bad breath, film in mouth, feeling worthless and flat.very tired.",,
BUSPAR,"I take Effexor XR 187.5 mg and Wellbutrin XL 300 mg for depression. I live in Canada, so the depression always come back in november until march because of the lack of sunlight. So we added Buspar and after 3 days, the depression went away and I feel so good, I have so much energy, more motivation and interest, I am back to work and to the gym. Also, I noticed that I have better cognitive functions. I will never go through another winter without Buspar.",I am miserable and am weaning myself off. Anyone else have these symptoms? Especially vibrating pelvis. Please email me. Thanks,,
BUSPIRONE HYDROCHLORIDE,"The best medication ever. It makes me feel myself, my libido is intact and became more social and tolerant.",Constipation and severe bloating in belly and back. Awful taste in mouth.,,
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",Excellent medication with no side effects for me.,"Acetaminophen doesn't do anything for me, in any form, nor did Imitrex (despite hideous side effects). This works well enough that if I use half a pill within a few hours of a migraine starting it can knock it back to a mere headache. However, nothing works after the aura starts. Like all painkillers used for migraine (including OTC remedies), use sparingly to avoid the vicious cycle of rebound headaches. The only way to cure those is to use NOTHING AT ALL for a full month, then start with very small and sparing dosages of OTC remedies. I've used this for a few years, limiting monthly use to 2-3 at most no matter how bad or frequent my migraines because I don't want to have to do the above detox ever again!!",,
"BUTALBITAL, ASPIRIN AND CAFFEINE","I tried taking this medication to help reduce the pain from having severe, ongoing migraines and it did absolutely nothing to help me. A placebo may have yielded a better effect.",This has been a lifesaver for me. If taken at the early signs of a migraine it usually stops it. If taken later it dulls the pain enough to let me sleep off the migraine. As I only have 1 or 2 migraines per month I've never had to worry about its addictive properties.,,
BUTRANS,Great pain relief on the 2 x 20 mcg patch switching every 96 hours.,"Useless drug. It is supposed to work in a synergistic manner with oral morphine but even at the highest dosage, it doesn't have any effect at all on my chronic back pain.",,
BYDUREON,I lost 15 pounds and great a1c.,This is a horrible medication with side effects not listed on the warning label. I had to research to find that severe sleepiness was a side effect. Stay away from it.,,
BYETTA,"In tandem with a couple of major changes to how I worked my diet which has given me much more control in splitting up calories per day and a much more varied diet, Byetta has led to me losing 6 stone over 7 months after 30 years of failure. I feel great! My support nurse says she's never seen such a positive response to Byetta.",I have heart failure and this created very severe side effects. This was a very severe reaction and yet I take Januvia without trouble.,,
BYSTOLIC,Should NEVER be prescribed cuz there are many cheaper and MUCH SAFER proven meds out there . It destroyed my life !!!,It should be illegal !!!,,
CABERGOLINE,restored my menstrual cycles lowered prolactin levels,"I was diagnosed with Prolactinoma(2cm, 1500 prolactin levels) after I didn't have a cycle for 2 years and I started getting extreme migraines daily. I was put on Dostinex, the daily migraines decreased in intensity and duration, but still no cycle to this day (8 years on Cabergoline) My prolactin numbers have reached ""normal range"", currently at 58. Lately I have been feeling depressed, anxious and very angry. I have also been getting hair growth on my face and chest and am just explode with anger when I am normally a pretty laid back gal. I can see that I am acting aggressive and crazy, but I can't seem to stop the reaction. I got my testosterone checked and it is high, 68. I feel that the medication is increasing my testosterone, which is causing my anger, but my prolactin is still high and when I tried to get off the meds a few months ago because of the anger my prolactin jumped up to 175 in just 6 weeks. I am frustrated that I don't have options. I feel that the Cabergoline is causing: Increased testosterone, anger, anxiety, emotional melt downs (anger and crying), I could easily sleep 12 hours a day and need coffee everyday, and my weight is climbing even though I am too depressed to eat much. The positives is that the headaches are less intense and the tumor is not growing. The negatives are that I am an emotional mess, I am slowly turning into a man and I don't have any motivation to do the things I once loved (mountain biking, backpacking, running",,
CAFERGOT,Cool site.,"Cafergot gets rid of my occasional migraine headaches (less than once a month) within 20 minutes. It also lifts me out of depression and stops severe body/muscle aches within 20 - 30 minutes. It takes me from a non-functioning, painful state to a fully functioning, pain free state.",,
CALAN,"Worked wonders for getting rid of PVCs, but now the gas pain and digestive issues are really getting to me (about 2 years into taking drug). I've been to a gastroenterologist and have confirmed GERD. I suspect it's mainly from the Verapamil, but I can't be sure. Only had occasional heartburn before going on this drug, with the exception of when I was pregnant.","I dont like it! never could take a channel blocker med before ! Docturd put me on it,insisted it was good! b/s its not! its junk and im sick from it -he knows it! wont do a thing about it! im seeking alterntive medications now and getting myself off this nasty medication! Im sick of idiot Docturds in california ! iv only found pill pushers here! that dont bother to read the side effects or test a person if they are allergic to the meds it sucks all around !",,
CALAN SR,"this works ok lowering blood pressure down, stops the palps good however if your in the sunlight or heat over 90deg F. ankles swell up and dehydration happens rapid while on this medication vision goes blurred at times and a few other things. like all b.p meds - you wonder is it really worth taking?","before taking Isoptin I was experiencing frequent disturbing symptoms of the premature ventricular beats (anxiety, lightheadedness) which resulted in my going to the outpatient department of my local hospital on quite a few occasions. Since being on Isoptin SR 120mm once per day for the last six years the symptoms have virtually disappeared.",,
CALCITONIN-SALMON,"What a relief after trying Fosamax, which I'll never take again. I was worried that I'd have sinus congestion because I'm a singer, but that hasn't happened. Hopefully my osteoporosis will improve.","What a relief after trying Fosamax, which I'll never take again. I was worried that I'd have sinus congestion because I'm a singer, but that hasn't happened. Hopefully my osteoporosis will improve.",,
CAMBIA,The drug is very effective against migraine and it does not make me nauseous. I take on a full stomach.,"Cannot afford $900 before meeting deductible, then $200 copay after deductible. Shame on pharmaceutical company. Needless to say, cannot afford to take this medication.",,
CAMILA,I love this birth control compared to others. So appreciative to not deal with migraines and nausea. I’ve always had mood swings due to hormonal changes so I can’t really blame it on birth control.,DO NOT TAKE THIS. It is the worst drug I have ever taken!,,
CAMPATH,has helped my son tremendously,has helped my son tremendously,,
CAMPRAL,"Once I stopped drinking for about 5 days while taking Campral, it worked. Cravings mostly gone. It repairs the prefrontal lobe, which is needed to make good decisions about drinking and drugs. Really, a miracle drug. I highly recommend it to any alcoholics, but you have to not drink for around a week, and give it a chance. It did not help when I took it and still drank!!!",Being a blackout binge drinker for about 14 years resulted in every horrible consequence imaginable. Acamprosate Calcium worked immediately for cravings and resetting my brain back to where I no longer have continuous thoughts of drinking. I also take 50 mg of Zoloft daily for anxiety and depression. I believe the combination of Campral or the generic and an SSRI work!,,
CAMPTOSAR,"Would not recommend to any member of my family - we had to take my dad to the ER and they brough him slowly back from near death after 4 days. Low Red Blood and White blood cell count, anemia, dehydration, vomiting, loss of appetite, severe weight loss, depression, hair loss, ABSOLUTELY NO CHANGE IN THE CANCER - the last scan showed NO TUMOR REDUCTION OR SHRINKAGE - what a waste of time money and the cost of my poor father's suffering - fda should put better warnings on this drug to alert patients of the dangers.","Would not recommend to any member of my family - we had to take my dad to the ER and they brough him slowly back from near death after 4 days. Low Red Blood and White blood cell count, anemia, dehydration, vomiting, loss of appetite, severe weight loss, depression, hair loss, ABSOLUTELY NO CHANGE IN THE CANCER - the last scan showed NO TUMOR REDUCTION OR SHRINKAGE - what a waste of time money and the cost of my poor father's suffering - fda should put better warnings on this drug to alert patients of the dangers.",,
CANASA,"My doctor claimed my joint pain was from UC, but I had no sign of joint pain until taking this medication. When I went off, it took several days for the pain to go down. I went on it again for a few days because of a flare up and the joint pain came right back. After a few weeks the pain hasn't totally gone away. The first time I took it it helped my rectal pain dramatically within 2 days. The second time it didn't do a thing. Side effects aren't worth it nor the high price tag! I've seen significant improvement from a cooked veggie diet, ultrainflamx, probiotics, roberts formula, psyllium, turmeric, boswellia, fish oil, glutamine, sodium butyrate enemas. Highly recommend a naturopath!","Canasa reduced the swelling quite a bit and took the edge off of the pain. It is expensive, and my insurance will only cover 1 1000 mg rectal suppository per day even though the Rx is for 2/day.",,
CANDESARTAN CILEXETIL,.,Still lowering bp.Was on Amlodipine 2.50mg as well but no longer need it.On a diet before op.so that helps.Mainly plant based food but still eat salmon & chicken or turkey.,,
CAP-PROFEN,GI effects are numerous. DO NOT TAKE MORE THAN TWO EVERY 6 HOURS! my wife took too much and was vommitting for three hours.,GI effects are numerous. DO NOT TAKE MORE THAN TWO EVERY 6 HOURS! my wife took too much and was vommitting for three hours.,,
CAPLYTA,Felt good the days after the er visit.,Dangerous drug,,
CAPOZIDE 25/15,"After coming off the Metoprolol, I have to say that this drug is amazing. I usually have a very bad effect to medications, and so far, this hasn't given me any side effects. I have lost weight that I gained on the Metoprolol, so I'm feeling much better. This may be the one for me.","After coming off the Metoprolol, I have to say that this drug is amazing. I usually have a very bad effect to medications, and so far, this hasn't given me any side effects. I have lost weight that I gained on the Metoprolol, so I'm feeling much better. This may be the one for me.",,
CAPTOPRIL,"I take 12.5 mg every 4 to 6 hrs to control secondary hypertension, I take it with clonidine, 2 to 3 mg a day, and 3mg of ativan. First numbers use to always be in the 170 to 220 range, this knocked it right out, bottom number from 130+ down to 110 to 60's, only drug that has worked and with little to no side effects, no weight gain, actually starting to loose weight",these are the meds I have been on so far all have caused severe gas. Very painful and I am unable to be around people. Very embarrassing! LOSARTAN NIFEDIPINE BENAZEPRIL CAPTOPRIL OLMESARTAN (this one was the worst) Caprtopril has lowered my blood pressure,,
CARAFATE,I will not recommend,I am stopping this. I can't handle feeling lightheaded and anxiety so bad.,,
CARBAMAZEPINE,been taking carbamazepine for approx.40years now and developed a severe case of dry eyes.tried many different eye drops including restasis with very little relief.,Always controlled complex partial seizures; never controlled simple partial seizures (auras),,
CARBATROL,"Carbatrol works. I haven't had a seizure since I started taking it, so I can't really complain. Side effects aren't great, but I've gotten used to them (they persist). I need 8 hours of sleep or else I'm non-functional. I feel faint a lot, so that's a pain.","I hate taking all this crap.. just because I am the type of person that will tell you that you are stupid, if you are doing something stupid. The youth nowadays .. have no respect and I say and do attempt to straighten there veiws on life.",,
CARDENE SR,"iv take a few ccbs before, this one isnt as bad a some but its still a ccb drug! and causes the same old problems to happen side effect wise! nothing changed! sos.. ccbs suck swollen ankles and retaining water on this med !! dont like it at all..","iv take a few ccbs before, this one isnt as bad a some but its still a ccb drug! and causes the same old problems to happen side effect wise! nothing changed! sos.. ccbs suck swollen ankles and retaining water on this med !! dont like it at all..",,
CARDIOLITE,"I had an injection yesterday at 10am and the side effects are still with me but lessened. I will have another dose via IV next week for the stressed portion of the heart study, and will see if the effects are cumulative. Went to emergency room last night thinking I had a blood clot in my arm.","I had an injection yesterday at 10am and the side effects are still with me but lessened. I will have another dose via IV next week for the stressed portion of the heart study, and will see if the effects are cumulative. Went to emergency room last night thinking I had a blood clot in my arm.",,
CARDIZEM,My doctor didn't know Cardizem caused epigastric pain until she checked her drug manual. Thank goodness I looked it up and suggested to my dr that I was sure this was the cause of my problem. It may help to lower BP but who wants gastric ulcers?,"This is an absolutely terrible drug. Yes I am a 20 year old with high blood pressure - I know terrible. Anyway my doctor gave me this and I took it for 10 days threw the rest away in the trash where it belongs. I have anxiety and this drug messed with my heart and made me freak out. It felt like my heart slowed down but beat harder if that makes sense. I woke up in the AM cold, my feet and hards were freezing. Rediculous exhaustion, felt like I was given a tranquilizer. Guess you don't have to worry about high BP if you're comatose.",,
CARDIZEM CD,Wish my physician would change this med. Too many side effects. I feel good until I take the med.,"I don't know where I would be without this drug!! I have unexplained chest pain every single day severely! This makes it go away 85-90%. Not sure why and no doctor can explain it either, but it works:",,
CARDURA,I thought I would try taking this because it was cheap ($20) and my Cialis I was using for BPH was $700 a month. That was a mistake. Now my sex life has ended.,Not suitable for the elderly or a person with Diabetes,,
CARISOPRODOL,"The euphoric component kept me using this drug for years. I'd much rather have back my memory, and a host of other things I lost because of pill use and overall exacerbated bad health","The euphoric component kept me using this drug for years. I'd much rather have back my memory, and a host of other things I lost because of pill use and overall exacerbated bad health",,
CAROSPIR,BP down from 152/89 to 116/62 with this and my other meds.,BP down from 152/89 to 116/62 with this and my other meds.,,
CARTIA XT,Works wonderfully,"120 mg/day. This drug does stop those extra beats; BUT my thinking is not as clear as it used to be, i'm dried out and my sense of smell is reduced so that there's less taste to food, tired more than usual and somewhat depressed, psoriasis is exacerbated. I tried a beta blocker (Metroprolol Succinate) but psoriasis symptoms were much much worse.",,
CARVEDILOL,"Worked great for me until heart function improved, then blood pressure dropped too much.","They put me on this med twice, and each time I gained 25lbs! As if the depression it causes isn't bad enough.",,
CASODEX,"When I started taking casodex my PSA was 0.6. Now it is less than 0.2. I watch my liver ""numbers"" since I have also had hepititis B and have a core antibody resulting from that. So far so good.",I hate this drug but it is keeping me alive..in last 2 months however my psa is rising already at 22.6 as of last week..doctor wants to up dose to 150mg daily I'm not wanting to do that but again it is keeping me alive,,
CATAFLAM,"I was surprised to find that this drug noticeably lowers my pain level after about 45 minutes. I still have to take it in combo with a stronger pain reliever, but it's just a good drug for aches and pains. Better than things like Vioxx and OTC stuff, for sure.",Heaven sent after illness left me with chronic arthritis. started taking cataflam 6mths into illness and within 15mins my world changed. I also commend its cheap price compared to other drugs that did not work. 7yrs on them when weather/season changes to damp cold typically Ireland weather and no side effects whatsoever Barr they do their job properly. Taken after food as slow release.,,
CATAPRES,this drug is saving my life! i havent slept more that 3 hours at a time in 3 years. and when i do sleep i have very vivid dreams/nightmares that i act out so i end up waking up punching kicking and yelling. from the very first night ive been sleeping a solid 6 to 8 hours without all the craziness! so glad i found a sleep specialist who knew what the hell she was doing. ive been suffering from this for over 30 years! rx: clonazepam and a good trauma therapist(not as easy to come by),"It is a killer drug! All doctors that prescribe this medication, as well as the maKershaw of this drug should have criminal charges brought to bear against them. I know they knew about side effects!",,
CATAPRES-TTS-1,"My doc prescribed ""Nasacort"" spray to reduce the itching under the patch, which worked fairly well for about 1-1/2 years. Then the skin reaction got worse and the area stayed red even after patch was removed. Eventually I got a rash that spread from chest to back to arms & legs--entire body. It went away within 4 days after I stopped using the patch & switched to a different BP med.","I have tried other medications for high blood pressure, but their side affects were completely intolerable. The Catapres does bring down my blood pressure down to where it should be... so it has given me that... but it has taken some quality of my life in return.",,
CAVERJECT,I use these injections for ED. They work good for travelling as they don't need to be refrigerated. Normally I use Trimix compounded by a pharmacy at a significantly lower price.,I use these injections for ED. They work good for travelling as they don't need to be refrigerated. Normally I use Trimix compounded by a pharmacy at a significantly lower price.,,
CECLOR,"have taken it several times, works great, no side effects.","Took this drug for about 2 weeks and then broke out in massive hives internally and externally in October 2008. Hospitalized and almost died. Hives have subsided to some degree, but it destroyed my hormonal balance, so now I breakout every month with hives around my period. I cannot work and my life is miserable. DO NOT TAKE THIS DRUG.",,
CEFACLOR,"Rated ""4"" because it is unclear if it truly helped clear the infection, as is always the problem with sinus infections. I was regularly doing saline flushes several times a day, and it could've resolved on its own.","The first time I took a week of this med it worked great, with no side effects. But a few months later I took a second script of it and broke out in a violent rash of itching, maddening hives. I had to get injections of antihistamines to stop me from scratching my skin off!",,
CEFADROXIL,"I was given this for a Urinary Tract infection. However, the side effects were so severe that I had to stop it. I starting taking Cranberry tablets (purchased at the local health food store) instead.",took this for 10 days and showed little improvement,,
CEFDINIR,Was advised to take Florastor and acidoupholous to counter side effects without success,I don't know why anyone would prescribe this without a warning. Worst drug ever and would not recommend to anyone!,,
CEFPODOXIME PROXETIL,Day 1 literally only took 1 pill. Will update on how it’s treating me. So far just really tired and a headache. Make sure you eat and drink a lot of water.,Day 1 literally only took 1 pill. Will update on how it’s treating me. So far just really tired and a headache. Make sure you eat and drink a lot of water.,,
CEFTIN,"Better these side effects than being hospitalized with 103.4 fever, severe pain and vomiting.","Despite no longer showing nitrites (only leukocytes) in urine, urgent care center gave me these ""to clear up any remaining infection"". I was told to take them 2x a day for 10 days. The headaches are so bad, I am stopping after Day 8--I see no benefit, & my quality of life right now is obviously negatively affected--significantly so. If you're at all prone to any kind of headache--migraine, sinus-related, tension--I would ask your Doctor to prescribe something else. Ceftin are simply HORRIBLE.",,
CEFUROXIME AXETIL,"This should not be prescribed for older people, it's too strong. I felt the hypertension and pain and pressure in my chest would cause me to go back to the doctor and she would prescribe blood pressure medication (I have normal blood pressure) so I rested and took 1/4 of an aspirin and drank plenty of water. I didn't want to get into the blood pressure medication circus and make things worse. Please be smart and don't take this drug. With rest and water I'm feeling better, but it's scary to think you might have a stroke.","I had a bad sinus infection and had no energy to even drive to see the doctor. Took one 500 mg pill and it knocked me out. The next day I felt better, took 500 mg split in half. No side effects, day 3 and I feel like a human being again.",,
CEFZIL,I'm kind of worried as I do have major health issues I hope this ain't going to screw me up even more I also hate going to hospital because when I go it's always to the trauma department!!!,The infection seems to have gone but the side effects are horrible !,,
CELEBREX,"This medicine wiped out my pain which was wonderful, but after 5 days of severe side effects with disruption of sleep, I had to stop treatment.",No vomiting or diarrhea but the unsettled stomach part is outrageous.,,
CELESTONE,"Did free up the joint; took away my asthma, breathing great and helped my sinuses/allergies clear!",Do NOT accept this medicine as an aide in your healing. This has been the worst 3 weeks (and how long to go??) of my life! I was fine before this.,,
CELESTONE SOLUSPAN,"I was talked into intra-articular injections of Celestone Soluspan to deal with knee pain after falling on concrete on flexed knees. I initially refused the injections but was assured NONE of the steroid was systemically absorbed. A massive dose of Celestone Soluspan (12 mg each knee for a total of 24 mg) was injected into my knees. One week later my weight was up 4 pounds. My orthopedist who did not inject me (it was a sports doctor) confirmed that the steroid is absorbed systemically and continues to course through your system for 4 weeks after the injection and remains in your body some time afterward. I was a fit 100 pound women who hiked 15 miles a week prior to my fall. before the injections. Six weeks later, I have gained 6.5 pounds of belly fat and have a swollen face. My body shaped has completely changed. I cannon lose the weight and keep gaining despite the fact that I am eating only one meal a day. The injections did nothing to alleviate my pain.","I was talked into intra-articular injections of Celestone Soluspan to deal with knee pain after falling on concrete on flexed knees. I initially refused the injections but was assured NONE of the steroid was systemically absorbed. A massive dose of Celestone Soluspan (12 mg each knee for a total of 24 mg) was injected into my knees. One week later my weight was up 4 pounds. My orthopedist who did not inject me (it was a sports doctor) confirmed that the steroid is absorbed systemically and continues to course through your system for 4 weeks after the injection and remains in your body some time afterward. I was a fit 100 pound women who hiked 15 miles a week prior to my fall. before the injections. Six weeks later, I have gained 6.5 pounds of belly fat and have a swollen face. My body shaped has completely changed. I cannon lose the weight and keep gaining despite the fact that I am eating only one meal a day. The injections did nothing to alleviate my pain.",,
CELEXA,I don't think this drug has helped me at all I don't seem to feel any better on it than I did off of it. I'm going to be visiting my doctor soon see if I can go on some different classification of antidepression medicine. I'm sure this works for some people but I don't think it's doing anything for me.,"Coming off this drug was awful as well. Had the worst vertigo and nausea, felt like the room was constantly spinning.",,
CELLCEPT,Has worked great for my SLE. Stopped the progression of neuropathy up my leg! Also taking Plaquenil and IVIG.,"It has been a life saver. I do not know what I would have done without it. My myalgia is controlled although I still have ""tired eye syndrome "" and eye infections and persistent Raynaud's",,
CELONTIN,This drug was prescribed because of frequent seizures. It has been a great drug for me.,"In spite of all the adverse effects, the frequency of seizures remained about the same.",,
CENESTIN,"Drug got rid of hot flashes, vaginal dryness, aches and pains, fatigue and depression. I was able to lose almost 40 lbs. Libido is much more active (perhaps too much). It is as though the drug knocked 25 years off my age.",I have been on HRT for 21 years. I am a small boned person but have not had bone loss. I attribute this to Cenestin. I tried not taking Cenestin but the hot flashes drove me mad. The headaches that I had had before taking HRT came back. I persevered for one month. That was enough. I will not give up Cenestin.,,
CEPHALEXIN,"I called Dr and told them about side effect after figuring it out it could be from antibiotic. They told me that's not a side effect and to go in to ER, which clearly it is a side effect because so many have reported it. I have one dose left and I'm not going to take it.",It works for the infection but the side effect profiles are insane for people.,,
CERVIDIL,"Painful contractions, too strong. But effective med for what it was given.",Avoid at all costs,,
CESAMET,It's a miracle drug for me. It helps control my pain and keeps me in a more positive mood.,"Its pretty good I haven't used marijuana for a couple months now, but I am not sure this drug is any better or safer.",,
CETIRIZINE HYDROCHLORIDE,"Good allergy control, bad side effects. I cannot function at all with allergy meds, nor sleep at night, but a half-awake, stoner life for years is not fulfilling. Tried 10 mg instead but still had bad side effects.","Works well for allergy drys up mucus, just not worth the bad side effects it made me feel terrible. I didn't think something you can buy in supermarkets off the shelf would have such bad side effects !",,
CETRAXAL,I took this drug before all the black box labels and warnings existed. If you took this recently you're a complete moron and deserve whatever bad  health and suffering comes your way,I took this drug before all the black box labels and warnings existed. If you took this recently you're a complete moron and deserve whatever bad  health and suffering comes your way,,
CETROTIDE,"I used this drug as part of an antagonist IVF protocol. It's role was to suppress me. I ovulated while on this drug and developed a corpus luteum cyst approx 30mm big and my cycle had to be cancelled. I had horrible fatigue, and shoulder pain, in addition to the severe abdominal pain from the cyst. Previous to my ultrasound where I found out about the cyst, I felt so sick that I discussed with my husband whether I needed to be admitted to a hospital...that's how horrible I was feeling. My RE switched me to a different protocol that did not involve cetrotide for the next IVF attempt. I found this drug very inconvienent and difficult to inject due to it's powdered form. During reconstitution, I inevitably felt I was not getting good disolvement of the cetrotide. The drug was more difficult than average (compared to other fertility drugs I've used) to draw up into the syringe once mixed. I am also not thrilled with the quality of the needles. Something finer such as the guage one would find on follistim needles would be MUCH better and easier for patients to withstand. For obvious reasons I would not personally use this drug again.","I used this drug as part of an antagonist IVF protocol. It's role was to suppress me. I ovulated while on this drug and developed a corpus luteum cyst approx 30mm big and my cycle had to be cancelled. I had horrible fatigue, and shoulder pain, in addition to the severe abdominal pain from the cyst. Previous to my ultrasound where I found out about the cyst, I felt so sick that I discussed with my husband whether I needed to be admitted to a hospital...that's how horrible I was feeling. My RE switched me to a different protocol that did not involve cetrotide for the next IVF attempt. I found this drug very inconvienent and difficult to inject due to it's powdered form. During reconstitution, I inevitably felt I was not getting good disolvement of the cetrotide. The drug was more difficult than average (compared to other fertility drugs I've used) to draw up into the syringe once mixed. I am also not thrilled with the quality of the needles. Something finer such as the guage one would find on follistim needles would be MUCH better and easier for patients to withstand. For obvious reasons I would not personally use this drug again.",,
CHANTIX,It is a very good medication to quit smoking! Yes there are some side effects but I'm on my 3rd week take morning and night and I have no use for cigarettes they take up my time! But it took about 2-3 weeks in the beginning I smoked more? Chantix is worth a few side effects not getting lung or throat cancer is worth a few side effects stick with it. it works and worth it!,Don't take this toxic drug..you will harm urself more than you benefit ... this is crazy !!!!,,
CHEMET,Chemet (DMSA which is also known as Succimer) apparently is the least nephrotoxic of the available chelating agents and that is why I so far have endured its most unpleasant side effects. Some weeks of the aforementioned protocol I add 50MG of Alpha Lopiec Acid (Q 4 hours) to the protocol and this appears to cause the side effects to spike!,Chemet (DMSA which is also known as Succimer) apparently is the least nephrotoxic of the available chelating agents and that is why I so far have endured its most unpleasant side effects. Some weeks of the aforementioned protocol I add 50MG of Alpha Lopiec Acid (Q 4 hours) to the protocol and this appears to cause the side effects to spike!,,
CHILDRENS CLARITIN,I would not recommend in toddlers and young children.,Don't give it to your kid.,,
CHLOR-TRIMETON,"It helps a cough, runny nose, and itchy eyes. I think it is very good.",A whole tablet makes me way too tired.,,
CHLORAPREP,Would NOT recommend it. Now I ask for betadine scrub instead.,Would NOT recommend it. Now I ask for betadine scrub instead.,,
CHLORDIAZEPOXIDE HCL,"any high stress situations; long driving road trips (spouse driving!), flying; dealing w/stressful relative: 1- 5 mg tablet takes edge off immediately. sometimes I even have a glass of wine later in the day. Do not feel tired at all. Call it my ""chill pill"" & feel better just knowing I have it available. Maybe use 10 tabs total in a year.","any high stress situations; long driving road trips (spouse driving!), flying; dealing w/stressful relative: 1- 5 mg tablet takes edge off immediately. sometimes I even have a glass of wine later in the day. Do not feel tired at all. Call it my ""chill pill"" & feel better just knowing I have it available. Maybe use 10 tabs total in a year.",,
CHLORHEXIDINE GLUCONATE,I just want it to start working already. I used it once. I'm so anxious to get my mouth back.,I just want it to start working already. I used it once. I'm so anxious to get my mouth back.,,
CHLOROTHIAZIDE,"I stop taking this feel a little better , blood pressure now 117/65/73 this is better than 125/75/83","I stop taking this feel a little better , blood pressure now 117/65/73 this is better than 125/75/83",,
CHLORPROMAZINE HCL,"My life has changed drastically since putting him on this medicine. I felt bad putting him on it at first because he's only 3, but I couldn't be happier with the results.","My life has changed drastically since putting him on this medicine. I felt bad putting him on it at first because he's only 3, but I couldn't be happier with the results.",,
CHLORTHALIDONE,"I confirmed it was the med causing a lot of my palpitations as there was a time period where I kept forgetting to take my meds & I noticed NO palps. Went back to taking them, the palps came back. Funny thing is, by BP is lower without it so apparently my other BP med is working fine solo.",Very disappointed in our Health care system,,
CHOLESTYRAMINE,It took my watery diarrhea to 1x a day and the stools are formed. I take 1 4g scoop before bed and I am free to leave the house again and I can eat more foods in moderation without getting diarrhea and/or urgency.,"I've had the problem for 5 years, and tried everything. This works very well, and I don't have the concerns about my brain health that I had when taking Imodium. I don't have a gall bladder, and this may be the reason it works for me. It binds to fats that the gall bladder used to remove. Went from going 5-10 times a day to only 2 or 3.",,
CHORIONIC GONADOTROPIN,"Not sleepy during the day, waning libido has returned to normal. better memory. normal strength during workouts.","Not sleepy during the day, waning libido has returned to normal. better memory. normal strength during workouts.",,
CHRONULAC,"Doctor told me to start at 30 ml. and gradually increase dosage by 5 ml. every three days until ""your bowel movement becomes so powerful that you cannot under any circumstances ignore or avoid a daily bowel movement."" He added, ""You really can't overdose on lactulose because any excess amount is just expelled. Take with breakfast."" At first, all it produced was a gurgling effect in my stomach about noon. As the dosage increased, my constipation decreased and my bowel movements become easier. But, at the same time, I developed pungent and voluminous flatulence that I had to control to avoid social embarrassment. At the above dosage, there is a feeling of a hot bowel movement pushed out by gas and bloating. You can ignore it for a while if you want to, but eventually the urge becomes such that you can think of little else. Finally, panic sets in and you must find a bathroom quickly because there really is no alternative.","Doctor told me to start at 30 ml. and gradually increase dosage by 5 ml. every three days until ""your bowel movement becomes so powerful that you cannot under any circumstances ignore or avoid a daily bowel movement."" He added, ""You really can't overdose on lactulose because any excess amount is just expelled. Take with breakfast."" At first, all it produced was a gurgling effect in my stomach about noon. As the dosage increased, my constipation decreased and my bowel movements become easier. But, at the same time, I developed pungent and voluminous flatulence that I had to control to avoid social embarrassment. At the above dosage, there is a feeling of a hot bowel movement pushed out by gas and bloating. You can ignore it for a while if you want to, but eventually the urge becomes such that you can think of little else. Finally, panic sets in and you must find a bathroom quickly because there really is no alternative.",,
CIALIS,"I take Tadalafil for BPH but have improved memory, balance and blood flow during cardio vascular workouts. Blood flow to ""nether regions"" is great!",This drug is a game changer! It was as if my libido and hardness from when I was 19 was back again.,,
CICLOPIROX,"I used this on my 2 big toes EVERY DAY for 5 years, followed the instructions to the letter and it not only did not work but I ended up with the fungus spreading to the toe beside the big toe on both feet. The nails are still separated from the skin on both feet and now on 4 toes.","I used this on my 2 big toes EVERY DAY for 5 years, followed the instructions to the letter and it not only did not work but I ended up with the fungus spreading to the toe beside the big toe on both feet. The nails are still separated from the skin on both feet and now on 4 toes.",,
CIMZIA,"Will also explore alternative approaches, as drugs just seem to have too many side effects.",I've been on some brutal medicines but this one takes the cake. The sad part is that it helped the RA tremendously but the horrendous side effects couldn't be tolerated.,,
CIPRO,Ban this poison which is killing and disabling so many people around the world and doctors try to Gaslight you.,Este medicamento debe de actuar a modo de quimioterapia por quÃ© produce un daÃ±o y unos sintomas que no detectan las pruebas convencionales...... Horrible y los mÃ©dicos no lo creen..... T aconsejo que no lo tomes o aceleraras tu muerte.,,
CIPRO HC,"If you are able to deal with the side effects, then I would recommend this drug. I guess the benefits out weigh the side effects and risks.",I HATE THIS MEDICATION =/,,
CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER,Worked very well.,I would never take this medicine again. I feel so much worse than I did with my UTI. I have read complaint after complaint. This medicine is dangerous and should be taken off the market. Do not take or ever give to your children.,,
